Timestamp,Email Address,Pick a center (group 1),Pick a center (group 2),Pick a center  (group  3),Pick a center  (group  4),Pick a center  (group 5),Pick a center  (group  6),Pick a center  (group  7),Pick a center  (group  8),Pick a winger  (group  1),Pick a winger  (group  2),Pick a winger  (group 3),Pick a winger  (group  4),Pick a winger  (group  5),Pick a winger  (group  6),Pick a winger  (group  7),Pick a winger  (group  8),Pick a winger  (group  9),Pick a winger  (group  10),Pick a defenseman  (group 1),Pick a defenseman  (group 2),Pick a defenseman  (group  3),Pick a defenseman  (group  4),Pick a defenseman  (group  5),Pick a defenseman  (group  6),Pick a goalie  (group  1),Pick a goalie  (group  2),Pick a goalie  (group  3),Your name (this is the name that will show up on the graph):,WEST Forward 1 (pick 1),WEST Forward 2 (pick 1),WEST Forward 3 (pick 1),WEST Forward 4 (pick 1),WEST Forward 5 (pick 1),WEST Forward 6 (pick 1),WEST Forward 7 (pick 1),WEST Defence 1 (pick 1),WEST Defence 2 (pick 1),WEST Defence 3 (pick 1),EAST Forward 1 (pick 1),EAST Forward 2 (pick 1),EAST Forward 3 (pick 1),EAST Forward 4 (pick 1),EAST Forward 5 (pick 1),EAST Forward 6 (pick 1),EAST Forward 7 (pick 1),EAST Defence 1 (pick 1),EAST Defence 2 (pick 1),EAST Defence 3 (pick 1),Goalie WEST 1 (pick 1),Goalie WEST 2 (pick 1),Goalie EAST 1 (pick 1),Goalie EAST 2 (pick 1)
2025-04-23T09:27:50Z,jonah.stehr@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,TIM STUTZLE OTT,RYAN NUGENT-HOPKINS EDM,TOMAS HERTL VGK,JACK ROSLOVIC   CAR,ADAM LOWRY WPG,DYLAN COZENS OTT,MARTIN NECAS COL,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,GABRIEL VILARDI WPG,BRADY TKACHUK OTT,DRAKE BATHERSON OTT,ZACH HYMAN EDM,CLAUDE GIROUX      OTT,COLE PERFETTI WPG,CONNOR MCMICHAEL WSH,JOSH MORRISSEY WPG,JAKE SANDERSON OTT,THOMAS CHABOT OTT,JAKE WALMAN EDM,JAKOB CHYCHRUN WSH,NEAL PIONK        WPG,HELLEBUYCK WPG,GUSTAFSSON MIN,ULLMARK        OTT,verne hills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T09:36:01Z,dr..authur.zemlak.phd@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,TIM STUTZLE OTT,SAM BENNETT FLA,NICOLAS ROY VGK,WILLIAM KARLSSON VGK,WILLIAM KARLSSON VGK,JAKE EVANS      MTL,NIKITA KUCHEROV TBL,MARK STONE VGK,KYLE CONNOR WPG,JONATHAN DROUIN COL,BRAD MARCHAND FLA,ANDREI SVECHNIKOV CAR,MATTHEW KNIES TOR,CLAUDE GIROUX      OTT,COREY PERRY EDM,BOBBY MCMANN TOR,EVAN BOUCHARD EDM,SCOTT MORROW      CAR,LUKE HUGHES NJD,JOHN CARLSON     WSH,MIKE MATHESON MTL,ESA LINDELL DAL,THOMPSON     WSH,KOTCHETKOV CAR,ANDERSEN CAR,zona rau-fisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T09:36:56Z,todd.larson.dds@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,JOHN TAVARES TOR,DYLAN STROME WSH,TYLER SEGUIN DAL,PIERRE-LUC DUBOIS WSH,WILLIAM KARLSSON VGK,CHARLIE COYLE     COL,NIKITA KUCHEROV TBL,MITCH MARNER    TOR,KYLE CONNOR WPG,ADRIAN KEMPE     LAK,NIKOLAJ EHLERS WPG,JAMIE BENN         DAL,ZACH HYMAN EDM,JURAJ SLAFKOVSKY   MTL,KEVIN FIALA           LAK,CONNOR MCMICHAEL WSH,CALE MAKAR COL,DARNELL NURSE       EDM,SETH JONES FLA,JOHN CARLSON     WSH,MORGAN RIELLY      TOR,NEAL PIONK        WPG,SKINNER EDM,WOLL TOR,RITTICH  LAK,shawnda zboncak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T09:42:14Z,raekwon.monahan@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,ANZE KOPITAR LAK,MATT DUCHENE    DAL,PHILLIP DANAULT LAK,PIERRE-LUC DUBOIS WSH,PIERRE-LUC DUBOIS WSH,DAWSON MERCER NJD,MARTIN NECAS COL,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,JONATHAN DROUIN COL,BRAD MARCHAND FLA,IVAN DEMIDOV MTL,PATRIK LAINE MTL,CLAUDE GIROUX      OTT,COLE PERFETTI WPG,BOBBY MCMANN TOR,EVAN BOUCHARD EDM,DARNELL NURSE       EDM,THOMAS CHABOT OTT,JAKE WALMAN EDM,ALEX PIETRANGELO VGK,GUSTAV FORSLING FLA,HELLEBUYCK WPG,MONTEMBEAULT   MTL,PICKARD EDM,mrs. texas kling dds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T10:00:33Z,mr..cason.kirlin@example.com,CONNOR MCDAVID EDM,ALEKSANDER BARKOV FLA,JOHN TAVARES TOR,SAM BENNETT FLA,BROCK NELSON   COL,WILLIAM KARLSSON VGK,WILLIAM KARLSSON VGK,DAWSON MERCER NJD,KIRILL KAPRIZOV MIN,MATTHEW TKACHUK   FLA,BRANDON HAGEL TBL,JONATHAN DROUIN COL,MATS ZUCCARELLO MIN,PAVEL BUCHNEVICH STL,ZACH HYMAN EDM,PAVEL DOROFEYEV VGK,COREY PERRY EDM,ANDREI KUZMENKO LAK,CALE MAKAR COL,SCOTT MORROW      CAR,DREW DOUGHTY       LAK,DOUGIE HAMILTON NJD,JAKOB CHYCHRUN WSH,GUSTAV FORSLING FLA,BOBROVSKY       FLA,BINNINGTON STL,SAMSONOV        VGK,luke hoppe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T10:22:25Z,mr..shirley.ernser.iv@example.com,CONNOR MCDAVID EDM,MARK SCHEIFELE WPG,JOHN TAVARES TOR,DYLAN STROME WSH,TOMAS HERTL VGK,WILLIAM KARLSSON VGK,PIERRE-LUC DUBOIS WSH,CHARLIE COYLE     COL,KIRILL KAPRIZOV MIN,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,MATT BOLDY MIN,NIKOLAJ EHLERS WPG,ANDREI SVECHNIKOV CAR,MATTHEW KNIES TOR,LOGAN STANKOVEN CAR,ARTTURI LEHKONEN    COL,ANDREI KUZMENKO LAK,JOSH MORRISSEY WPG,SCOTT MORROW      CAR,SETH JONES FLA,JOHN CARLSON     WSH,MORGAN RIELLY      TOR,NOAH HANIFIN VGK,HELLEBUYCK WPG,HILL VGK,ANDERSEN CAR,pennie crooks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T11:02:22Z,dr..geno.kuvalis.ii@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,JOHN TAVARES TOR,DYLAN STROME WSH,TYLER SEGUIN DAL,JOEL ERIKSSON EK MIN,WILLIAM KARLSSON VGK,DYLAN COZENS OTT,JASON ROBERTSON DAL,MATTHEW TKACHUK   FLA,WILLIAM NYLANDER     TOR,JONATHAN DROUIN COL,DYLAN HOLLOWAY STL,DRAKE BATHERSON OTT,ALIAKSEI PROTAS WSH,CLAUDE GIROUX      OTT,COREY PERRY EDM,ANDREI KUZMENKO LAK,VICTOR HEDMAN TBL,SCOTT MORROW      CAR,THOMAS CHABOT OTT,DOUGIE HAMILTON NJD,COLTON PARAYKO STL,ESA LINDELL DAL,VASILEVSKIY TBL,MARKSTROM NJD,ANDERSEN CAR,buffy ritchie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T13:53:38Z,sarai.champlin.dvm@example.com,NATHAN MACKINNON COL,MARK SCHEIFELE WPG,BRAYDEN POINT   TBL,DYLAN STROME WSH,TOMAS HERTL VGK,WILLIAM KARLSSON VGK,WILLIAM KARLSSON VGK,CHARLIE COYLE     COL,MARTIN NECAS COL,MATTHEW TKACHUK   FLA,KYLE CONNOR WPG,TOM WILSON WSH,BRAD MARCHAND FLA,ANDREI SVECHNIKOV CAR,CARTER VERHAEGHE  FLA,LOGAN STANKOVEN CAR,ARTTURI LEHKONEN    COL,IVAN BARBASHEV VGK,CALE MAKAR COL,DEVON TOEWS COL,SETH JONES FLA,JOHN CARLSON     WSH,JAKOB CHYCHRUN WSH,NOAH HANIFIN VGK,BLACKWOOD COL,HILL VGK,LINDGREN      WSH,mrs. brittnee mcdermott,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T16:26:56Z,mary.grant@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,WYATT JOHNSTON DAL,MARCO ROSSI MIN,BROCK NELSON   COL,PIERRE-LUC DUBOIS WSH,ANTON LUNDELL     FLA,MAX DOMI TOR,JESPER BRATT NJD,ALEX OVECHKIN    WSH,WILLIAM NYLANDER     TOR,TOM WILSON WSH,BRADY TKACHUK OTT,DRAKE BATHERSON OTT,ZACH HYMAN EDM,JURAJ SLAFKOVSKY   MTL,TAYLOR HALL CAR,OLIVER BJORKSTRAND TBL,JOSH MORRISSEY WPG,DEVON TOEWS COL,JARED SPURGEON MIN,JOHN CARLSON     WSH,MATTIAS EKHOLM EDM,NOAH HANIFIN VGK,HELLEBUYCK WPG,WOLL TOR,PICKARD EDM,maci trantow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-04-23T23:05:21Z,ella.kshlerin@example.com,CONNOR MCDAVID EDM,AUSTON MATTHEWS   TOR,TIM STUTZLE OTT,DYLAN STROME WSH,SHANE PINTO OTT,JOEL ERIKSSON EK MIN,WILLIAM KARLSSON VGK,DYLAN COZENS OTT,MARTIN NECAS COL,ALEX OVECHKIN    WSH,KYLE CONNOR WPG,JONATHAN DROUIN COL,BRADY TKACHUK OTT,PAVEL BUCHNEVICH STL,PATRIK LAINE MTL,JURAJ SLAFKOVSKY   MTL,ARTTURI LEHKONEN    COL,OLIVER BJORKSTRAND TBL,SHAYNE GOSTISBEHERE CAR,DARNELL NURSE       EDM,THOMAS CHABOT OTT,DOUGIE HAMILTON NJD,ALEX PIETRANGELO VGK,DMITRY ORLOV CAR,VASILEVSKIY TBL,GUSTAFSSON MIN,RITTICH  LAK,lim gorczany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
